green	filename	Strain	Plate	Col	Row	PlateID
138	451.3.col2.row3.jpeg	451	3	col2	row3	451.3
134	451.3.col3.row1.jpeg	451	3	col3	row1	451.3
139	451.3.col3.row2.jpeg	451	3	col3	row2	451.3
140	451.3.col3.row3.jpeg	451	3	col3	row3	451.3
145	451.3.col4.row1.jpeg	451	3	col4	row1	451.3
131.5	451.3.col4.row2.jpeg	451	3	col4	row2	451.3
144	451.3.col4.row3.jpeg	451	3	col4	row3	451.3
131	451.4.col1.row1.jpeg	451	4	col1	row1	451.4
136	451.4.col1.row2.jpeg	451	4	col1	row2	451.4
140	451.4.col1.row3.jpeg	451	4	col1	row3	451.4
140.5	451.4.col2.row1.jpeg	451	4	col2	row1	451.4
140	451.4.col2.row2.jpeg	451	4	col2	row2	451.4
145	451.4.col2.row3.jpeg	451	4	col2	row3	451.4
144	451.4.col3.row1.jpeg	451	4	col3	row1	451.4
145	451.4.col3.row2.jpeg	451	4	col3	row2	451.4
143	451.4.col3.row3.jpeg	451	4	col3	row3	451.4
142	451.4.col4.row1.jpeg	451	4	col4	row1	451.4
132	451.4.col4.row2.jpeg	451	4	col4	row2	451.4
140	451.4.col4.row3.jpeg	451	4	col4	row3	451.4
133	45.1.col1.row1.jpeg	45	1	col1	row1	45.1
134	45.1.col1.row2.jpeg	45	1	col1	row2	45.1
122	45.1.col1.row3.jpeg	45	1	col1	row3	45.1
NA	45.1.col2.row1.jpeg	45	1	col2	row1	45.1
139	45.1.col2.row2.jpeg	45	1	col2	row2	45.1
183	45.1.col2.row3.jpeg	45	1	col2	row3	45.1
128	45.1.col3.row1.jpeg	45	1	col3	row1	45.1
NA	45.1.col3.row2.jpeg	45	1	col3	row2	45.1
NA	45.1.col3.row3.jpeg	45	1	col3	row3	45.1
130	45.1.col4.row1.jpeg	45	1	col4	row1	45.1
145	45.1.col4.row2.jpeg	45	1	col4	row2	45.1
169	45.1.col4.row3.jpeg	45	1	col4	row3	45.1
132	45.2.col1.row1.jpeg	45	2	col1	row1	45.2
NA	45.2.col1.row2.jpeg	45	2	col1	row2	45.2
NA	45.2.col1.row3.jpeg	45	2	col1	row3	45.2
141	45.2.col2.row1.jpeg	45	2	col2	row1	45.2
131	45.2.col2.row2.jpeg	45	2	col2	row2	45.2
142	45.2.col2.row3.jpeg	45	2	col2	row3	45.2
133	45.2.col3.row1.jpeg	45	2	col3	row1	45.2
148	45.2.col3.row2.jpeg	45	2	col3	row2	45.2
143	45.2.col3.row3.jpeg	45	2	col3	row3	45.2
135.5	45.2.col4.row1.jpeg	45	2	col4	row1	45.2
144	45.2.col4.row2.jpeg	45	2	col4	row2	45.2
134	45.2.col4.row3.jpeg	45	2	col4	row3	45.2
