npixels	filename	Strain	Plate	Col	Row	PlateID	Sticker.size	Normalized.size	Hull.area	Normalized.hull.area
2611	33.2.col1.row1.jpeg	33	2	col1	row1	33.2	1513	1.72571050892267	5528	3.65366820885658
4519	33.2.col1.row2.jpeg	33	2	col1	row2	33.2	1513	2.98678122934567	9996.5	6.60707204230007
624	33.2.col1.row3.jpeg	33	2	col1	row3	33.2	1513	0.412425644415069	1390.5	0.919035029742234
2166	33.2.col2.row1.jpeg	33	2	col2	row1	33.2	1513	1.43159286186385	4834	3.19497686715135
4229	33.2.col2.row2.jpeg	33	2	col2	row2	33.2	1513	2.7951090548579	8552	5.65234633179114
2461	33.2.col2.row3.jpeg	33	2	col2	row3	33.2	1513	1.6265697290152	4924	3.25446133509584
0	33.2.col3.row1.jpeg	33	2	col3	row1	33.2	1513	0	0	0
0	33.2.col3.row2.jpeg	33	2	col3	row2	33.2	1513	0	0	0
2266	33.2.col3.row3.jpeg	33	2	col3	row3	33.2	1513	1.49768671513549	4535.5	2.99768671513549
3	33.2.col4.row1.jpeg	33	2	col4	row1	33.2	1513	0.00198281559814937	40	0.0264375413086583
1367	33.2.col4.row2.jpeg	33	2	col4	row2	33.2	1513	0.903502974223397	2486	1.64309319233311
13	33.2.col4.row3.jpeg	33	2	col4	row3	33.2	1513	0.00859220092531395	111.5	0.073694646397885
116	451.1.col1.row1.jpeg	451	1	col1	row1	451.1	1567	0.0740268028079132	239.5	0.152839821314614
1510	451.1.col1.row2.jpeg	451	1	col1	row2	451.1	1567	0.963624760689215	3400	2.16975111678366
1005	451.1.col1.row3.jpeg	451	1	col1	row3	451.1	1567	0.641352903637524	1777	1.13401403956605
1365	451.1.col2.row1.jpeg	451	1	col2	row1	451.1	1567	0.871091257179324	2343.5	1.4955328653478
68	451.1.col2.row2.jpeg	451	1	col2	row2	451.1	1567	0.0433950223356733	166.5	0.106253988513082
992	451.1.col2.row3.jpeg	451	1	col2	row3	451.1	1567	0.633056796426292	1966.5	1.25494575622208
548	451.1.col3.row1.jpeg	451	1	col3	row1	451.1	1567	0.349712827058073	1029.5	0.65698787492023
313	451.1.col3.row2.jpeg	451	1	col3	row2	451.1	1567	0.199744735162731	531.5	0.33918315252074
3	451.1.col3.row3.jpeg	451	1	col3	row3	451.1	1567	0.001914486279515	1536	0.980216975111678
1399	451.1.col4.row1.jpeg	451	1	col4	row1	451.1	1567	0.89278876834716	3442.5	2.19687300574346
166	451.1.col4.row2.jpeg	451	1	col4	row2	451.1	1567	0.105934907466496	355	0.226547543075941
538	451.1.col4.row3.jpeg	451	1	col4	row3	451.1	1567	0.343331206126356	1258.5	0.803126994256541
0	451.2.col1.row1.jpeg	451	2	col1	row1	451.2	1522	0	0	0
0	451.2.col1.row2.jpeg	451	2	col1	row2	451.2	1522	0	0	0
0	451.2.col1.row3.jpeg	451	2	col1	row3	451.2	1522	0	0	0
0	451.2.col2.row1.jpeg	451	2	col2	row1	451.2	1522	0	0	0
0	451.2.col2.row2.jpeg	451	2	col2	row2	451.2	1522	0	0	0
3126	451.2.col2.row3.jpeg	451	2	col2	row3	451.2	1522	2.053876478318	6177	4.05847568988173
188	451.2.col3.row1.jpeg	451	2	col3	row1	451.2	1522	0.123521681997372	411	0.270039421813403
41	451.2.col3.row2.jpeg	451	2	col3	row2	451.2	1522	0.0269382391590013	2144.5	1.40900131406045
5221	451.2.col3.row3.jpeg	451	2	col3	row3	451.2	1522	3.43035479632063	8884.5	5.83738501971091
0	451.2.col4.row1.jpeg	451	2	col4	row1	451.2	1522	0	0	0
47	451.2.col4.row2.jpeg	451	2	col4	row2	451.2	1522	0.030880420499343	83	0.0545335085413929
116	451.2.col4.row3.jpeg	451	2	col4	row3	451.2	1522	0.076215505913272	141.5	0.0929697766097241
0	451.3.col1.row1.jpeg	451	3	col1	row1	451.3	1529	0	0	0
0	451.3.col1.row2.jpeg	451	3	col1	row2	451.3	1529	0	0	0
944	451.3.col1.row3.jpeg	451	3	col1	row3	451.3	1529	0.617396991497711	1582.5	1.03499018966645
0	451.3.col2.row1.jpeg	451	3	col2	row1	451.3	1529	0	0	0
3082	451.3.col2.row2.jpeg	451	3	col2	row2	451.3	1529	2.01569653368215	5951	3.89208633093525
3074	451.3.col2.row3.jpeg	451	3	col2	row3	451.3	1529	2.0104643557881	5414.5	3.54120340091563
53	451.3.col3.row1.jpeg	451	3	col3	row1	451.3	1529	0.0346631785480706	270	0.176586003924133
524	451.3.col3.row2.jpeg	451	3	col3	row2	451.3	1529	0.34270765206017	887.5	0.580444735120994
447	451.3.col3.row3.jpeg	451	3	col3	row3	451.3	1529	0.292347939829954	3783.5	2.47449313276651
2389	451.3.col4.row1.jpeg	451	3	col4	row1	451.3	1529	1.5624591236102	3973.5	2.59875735775016
2	451.3.col4.row2.jpeg	451	3	col4	row2	451.3	1529	0.0013080444735121	49	0.0320470896010464
2878	451.3.col4.row3.jpeg	451	3	col4	row3	451.3	1529	1.88227599738391	4159.5	2.72040549378679
2131	451.4.col1.row1.jpeg	451	4	col1	row1	451.4	1546	1.37839586028461	3407	2.20375161707633
484	451.4.col1.row2.jpeg	451	4	col1	row2	451.4	1546	0.313065976714101	1219	0.788486416558862
1751	451.4.col1.row3.jpeg	451	4	col1	row3	451.4	1546	1.13260025873221	3386	2.1901681759379
1	451.4.col2.row1.jpeg	451	4	col2	row1	451.4	1546	0.000646830530401035	0	0
2559	451.4.col2.row2.jpeg	451	4	col2	row2	451.4	1546	1.65523932729625	4949	3.20116429495472
2394	451.4.col2.row3.jpeg	451	4	col2	row3	451.4	1546	1.54851228978008	4876	3.15394566623545
3229	451.4.col3.row1.jpeg	451	4	col3	row1	451.4	1546	2.08861578266494	6276.5	4.0598318240621
1814	451.4.col3.row2.jpeg	451	4	col3	row2	451.4	1546	1.17335058214748	2715	1.75614489003881
5356	451.4.col3.row3.jpeg	451	4	col3	row3	451.4	1546	3.46442432082794	9591	6.20375161707633
539	451.4.col4.row1.jpeg	451	4	col4	row1	451.4	1546	0.348641655886158	1044	0.67529107373868
