green	filename	Strain	Plate	Col	Row	PlateID
139	231.1.col2.row3.jpeg	231	1	col2	row3	231.1
144	231.1.col3.row1.jpeg	231	1	col3	row1	231.1
144	231.1.col3.row2.jpeg	231	1	col3	row2	231.1
137	231.1.col3.row3.jpeg	231	1	col3	row3	231.1
NA	231.1.col4.row1.jpeg	231	1	col4	row1	231.1
145	231.1.col4.row2.jpeg	231	1	col4	row2	231.1
NA	231.1.col4.row3.jpeg	231	1	col4	row3	231.1
129	231.2B.col1.row1.jpeg	231	2B	col1	row1	231.2B
125	231.2B.col1.row2.jpeg	231	2B	col1	row2	231.2B
NA	231.2B.col1.row3.jpeg	231	2B	col1	row3	231.2B
133	231.2B.col2.row1.jpeg	231	2B	col2	row1	231.2B
139	231.2B.col2.row2.jpeg	231	2B	col2	row2	231.2B
132	231.2B.col2.row3.jpeg	231	2B	col2	row3	231.2B
113	231.2B.col3.row1.jpeg	231	2B	col3	row1	231.2B
138	231.2B.col3.row2.jpeg	231	2B	col3	row2	231.2B
136	231.2B.col3.row3.jpeg	231	2B	col3	row3	231.2B
120	231.2B.col4.row1.jpeg	231	2B	col4	row1	231.2B
118	231.2B.col4.row2.jpeg	231	2B	col4	row2	231.2B
148.5	231.2B.col4.row3.jpeg	231	2B	col4	row3	231.2B
136	231.2.col1.row1.jpeg	231	2	col1	row1	231.2
130	231.2.col1.row2.jpeg	231	2	col1	row2	231.2
NA	231.2.col1.row3.jpeg	231	2	col1	row3	231.2
140	231.2.col2.row1.jpeg	231	2	col2	row1	231.2
144	231.2.col2.row2.jpeg	231	2	col2	row2	231.2
138	231.2.col2.row3.jpeg	231	2	col2	row3	231.2
118.5	231.2.col3.row1.jpeg	231	2	col3	row1	231.2
142	231.2.col3.row2.jpeg	231	2	col3	row2	231.2
142	231.2.col3.row3.jpeg	231	2	col3	row3	231.2
124	231.2.col4.row1.jpeg	231	2	col4	row1	231.2
126	231.2.col4.row2.jpeg	231	2	col4	row2	231.2
136	231.2.col4.row3.jpeg	231	2	col4	row3	231.2
144	231.3.col1.row1.jpeg	231	3	col1	row1	231.3
NA	231.3.col1.row2.jpeg	231	3	col1	row2	231.3
NA	231.3.col1.row3.jpeg	231	3	col1	row3	231.3
128	231.3.col2.row1.jpeg	231	3	col2	row1	231.3
146	231.3.col2.row2.jpeg	231	3	col2	row2	231.3
149	231.3.col2.row3.jpeg	231	3	col2	row3	231.3
NA	231.3.col3.row1.jpeg	231	3	col3	row1	231.3
126	231.3.col3.row2.jpeg	231	3	col3	row2	231.3
119	231.3.col3.row3.jpeg	231	3	col3	row3	231.3
126	231.3.col4.row1.jpeg	231	3	col4	row1	231.3
129	231.3.col4.row2.jpeg	231	3	col4	row2	231.3
146	231.3.col4.row3.jpeg	231	3	col4	row3	231.3
127.5	231.4.col1.row1.jpeg	231	4	col1	row1	231.4
143	231.4.col1.row2.jpeg	231	4	col1	row2	231.4
142	231.4.col1.row3.jpeg	231	4	col1	row3	231.4
142	231.4.col2.row1.jpeg	231	4	col2	row1	231.4
129	231.4.col2.row2.jpeg	231	4	col2	row2	231.4
139	231.4.col2.row3.jpeg	231	4	col2	row3	231.4
NA	231.4.col3.row1.jpeg	231	4	col3	row1	231.4
141	231.4.col3.row2.jpeg	231	4	col3	row2	231.4
124	231.4.col3.row3.jpeg	231	4	col3	row3	231.4
134	231.4.col4.row1.jpeg	231	4	col4	row1	231.4
143	231.4.col4.row2.jpeg	231	4	col4	row2	231.4
132	231.4.col4.row3.jpeg	231	4	col4	row3	231.4
139	362.1.col1.row1.jpeg	362	1	col1	row1	362.1
135	362.1.col1.row2.jpeg	362	1	col1	row2	362.1
139	362.1.col1.row3.jpeg	362	1	col1	row3	362.1
NA	362.1.col2.row1.jpeg	362	1	col2	row1	362.1
NA	362.1.col2.row2.jpeg	362	1	col2	row2	362.1
134	362.1.col2.row3.jpeg	362	1	col2	row3	362.1
131	362.1.col3.row1.jpeg	362	1	col3	row1	362.1
139	362.1.col3.row2.jpeg	362	1	col3	row2	362.1
140	362.1.col3.row3.jpeg	362	1	col3	row3	362.1
NA	362.1.col4.row1.jpeg	362	1	col4	row1	362.1
137	362.1.col4.row2.jpeg	362	1	col4	row2	362.1
