Phenotype	Strain	Coefficient	p.value	q.value
blue	X10	0.00417479386356927	0.973892215614562	0.992620912068688
blue	X105	0.602597360266347	0.434581200709184	0.920492468549563
blue	X106	1.24759860377827	0.107331408731426	0.905077791461878
blue	X107	-0.330198987186252	0.697088380999422	0.920746162249951
blue	X11	-0.669052340073156	0.418620606690615	0.920492468549563
blue	X123	1.24179775007418	0.119538576230814	0.905077791461878
blue	X125	0.100432332967183	0.872594702879003	0.963489984428899
blue	X135	-0.655487461752546	0.426055574513941	0.920492468549563
blue	X140	3.91384609310808	0.00898155231694368	0.476022272798015
blue	X161	0.869328053672677	0.24881594126703	0.920492468549563
blue	X162	-0.820110934539241	0.303051387664152	0.920492468549563
blue	X2	0.311074324451672	0.659975732167611	0.920492468549563
blue	X20	-0.879041165212569	0.268363432987483	0.920492468549563
blue	X217	-0.487202187329821	0.557351161323483	0.920492468549563
blue	X22	0.0121823571454702	0.966749745514035	0.992620912068688
blue	X224	0.517842380396233	0.491852559758651	0.920492468549563
blue	X23	0.279509922516835	0.691088645846248	0.920746162249951
blue	X231	-0.527170252641831	0.513065958064935	0.920492468549563
blue	X26	-0.437255262120109	0.592358373438551	0.920492468549563
blue	X27	-0.645654746749742	0.4240747515833	0.920492468549563
blue	X299	0.592736200117787	0.436489847095276	0.920492468549563
blue	X3	-0.412477362457444	0.620637953139141	0.920492468549563
blue	X303	-0.533352750118201	0.594505734706872	0.920492468549563
blue	X31	0.951812100298074	0.220459563589814	0.920492468549563
blue	X33	0.107931060089762	0.871321288946465	0.963489984428899
blue	X35	-0.390599043385228	0.646188102561118	0.920492468549563
blue	X351	-0.0246715551442226	0.997861613721305	0.997861613721305
blue	X36	-0.211518702009702	0.810497936534847	0.963489984428899
blue	X362	0.38907735854814	0.606196698027492	0.920492468549563
blue	X376	-0.555643641156162	0.485170920058326	0.920492468549563
blue	X384	-0.0493525317210761	0.971916121875998	0.992620912068688
blue	X40	0.13840512705464	0.839197215878893	0.963489984428899
blue	X41	0.735991235582931	0.32279338849961	0.920492468549563
blue	X45	1.37053785142919	0.0807531868793067	0.89776665535532
blue	X49	-0.969431640673857	0.210383790735966	0.920492468549563
blue	X50	-0.451965681374972	0.588159785100165	0.920492468549563
blue	X51	1.11215249339446	0.159575087483684	0.920492468549563
blue	X57	-2.69488129051484	0.084694967486351	0.89776665535532
blue	X72	-0.689104078425551	0.529548793061466	0.920492468549563
blue	X8	1.54207446033865	0.0470091444679288	0.830494885600076
blue	X95	0.0076502862016676	0.968182187953703	0.992620912068688
blue	CL11	-1.13867159673342	0.158799845440411	0.920492468549563
blue	CL18	-2.16486314892505	0.0446829910641493	0.830494885600076
blue	CL21	-0.391172343044997	0.642522967994546	0.920492468549563
blue	CL41	0.866052358832655	0.307972713231682	0.920492468549563
blue	CL52	-0.212447299525443	0.816274727465209	0.963489984428899
blue	CL58	-0.729168490763163	0.362879573943273	0.920492468549563
blue	CL73	-0.449674877681919	0.596539547934334	0.920492468549563
blue	X363	0.308511988083381	0.712275333061283	0.920746162249951
blue	X79	-1.14616465222069	0.225273908475247	0.920492468549563
blue	X9	0.245892356578093	0.770060093806525	0.963489984428899
blue	CL72	-0.20314275079495	0.868533571519465	0.963489984428899
blue	X451	1.4002679254862	0.359955334643029	0.920492468549563
green	X10	-0.994577487735846	0.273122715146932	0.920257167902414
green	X105	0.342355137476583	0.825777870551488	0.920257167902414
green	X106	1.46042753370641	0.175237183735334	0.920257167902414
green	X107	0.735530332305482	0.533563312038313	0.920257167902414
green	X11	0.750558533692303	0.530521112784047	0.920257167902414
green	X123	-0.752465626379398	0.387297398467873	0.920257167902414
green	X125	-1.62516555104785	0.0677211033944912	0.920257167902414
green	X135	0.621892163611534	0.614530984896788	0.920257167902414
green	X140	1.24056700382105	0.543694664356942	0.920257167902414
green	X161	1.01364055299028	0.357502324935485	0.920257167902414
green	X162	-0.669234067637052	0.413811435196605	0.920257167902414
green	X2	0.506279746929688	0.684440421604832	0.920257167902414
green	X20	-1.41065848525118	0.112496272220946	0.920257167902414
green	X217	-0.812371894797786	0.344684748423131	0.920257167902414
green	X22	1.4688362494189	0.196402216655891	0.920257167902414
green	X224	0.403527084435915	0.774354775832219	0.920257167902414
green	X23	-0.64613909029881	0.417916251767978	0.920257167902414
green	X231	-0.775935505667591	0.351107576008604	0.920257167902414
green	X26	0.343904862271845	0.819005526381628	0.920257167902414
green	X27	-0.723151094924161	0.385284117631879	0.920257167902414
green	X299	-0.796733798147914	0.351635554871331	0.920257167902414
green	X3	-0.0527303808789889	0.858787277997817	0.920257167902414
green	X303	0.899178167093532	0.514031268506501	0.920257167902414
green	X31	-0.0710296825837976	0.846126235189715	0.920257167902414
green	X33	1.61491780711966	0.138212005766793	0.920257167902414
green	X35	0.0861492025313575	0.971060853082638	0.972796226084194
green	X351	-0.104870140608012	0.820363650163037	0.920257167902414
green	X36	-0.256403451046747	0.701060846422052	0.920257167902414
green	X362	-0.982464707611686	0.266717911501906	0.920257167902414
green	X376	0.578900715957175	0.632440394187053	0.920257167902414
green	X384	-0.879099636379067	0.292077351641994	0.920257167902414
green	X40	0.282342939844765	0.871517269968075	0.920257167902414
green	X41	0.62812014734204	0.599163396428498	0.920257167902414
green	X45	1.78173526739485	0.0958907537194563	0.920257167902414
green	X49	-0.678010691789615	0.396698389611111	0.920257167902414
green	X50	-2.03982109702086	0.0285303734104055	0.920257167902414
green	X51	1.3964760212875	0.205961528646842	0.920257167902414
green	X57	-0.291767855865267	0.82721507464918	0.920257167902414
